"","V1","business_id","type","Day","Hour","Review_Number"
"1","1","7KPBkxAOEtb3QeIL9PEErg","checkin","Fri","0","2"
"2","2","kREVIrSBbtqBhIYkTccQUg","checkin","Mon","13","1"
"3","3","tJRDll5yqpZwehenzE2cSg","checkin","Thu","0","1"
"4","4","nhZ1HGWD8lMErdn3FuWuTQ","checkin","Fri","0","1"
"5","5","8bY6M2yiWOF2ilfmGS34Fw","checkin","Sat","11","1"
"6","6","zNVot5_XHsxwfKdiFjk_aA","checkin","Mon","0","1"
"7","7","BH0K6SxPnY3wTRB7tA27hQ","checkin","Fri","0","1"
"8","8","dPxL6P_Gp74CqSPuL59Srg","checkin","Tue","0","2"
"9","9","aZbbt_RPKV8vUY7GWiEEyw","checkin","Thu","18","1"
"10","10","Fu-egVPTQZ3lNYM0PhpQiQ","checkin","Thu","14","1"
"11","11","HRIUU2Z4EsZBo59P0I2ZYA","checkin","Fri","0","1"
"12","12","Y6L37i6rkqDzMesTN5UI2Q","checkin","Thu","0","1"
"13","13","WllBAxQd6w3EZHYNOKRoMw","checkin","Mon","20","1"
"14","14","GbSKygYKUy13yoZZdVxJuQ","checkin","Thu","12","1"
"15","15","FQM4pVt1jeZcBGLIsXhXNA","checkin","Sat","0","1"
"16","16","0WsCtzG8xazAmFA5HhQE0A","checkin","Sun","0","2"
"17","17","yEWrdUczj1_9KTUJEVfIIg","checkin","Sat","0","1"
"18","18","RGeEUbXNFPqozawExgvy_g","checkin","Sat","14","1"
"19","19","JN6287XepTV2wOiwnq5joA","checkin","Wed","0","1"
"20","20","vl02XdFVoXC-s_Y4WVvL-g","checkin","Mon","12","1"
"21","21","zek4x_a6Io6mU67bc4ahXA","checkin","Fri","0","1"
"22","22","IKCxhUxfDPOQw9GjT3akHA","checkin","Sun","0","2"
"23","23","i4y0CrKYLh_Qiv6JGyABJw","checkin","Sat","0","1"
"24","24","0dcNFXs5yMj1n2RtkgIoHg","checkin","Tue","0","2"
"25","25","bANAMVwSMR-UAA54WdRsIA","checkin","Sat","15","1"
"26","26","4zOyZff4-FemUqRW3GXuCA","checkin","Thu","0","1"
"27","27","RNkVt3T_3DQjXbXTM2DIjg","checkin","Sun","0","1"
"28","28","5A2BcDVbWGM7JEUgSfFleA","checkin","Sat","0","2"
"29","29","vkoakhm0G9kMEhQzjFo86w","checkin","Mon","15","1"
"30","30","KH6AnamatNNCKszLpopjOg","checkin","Thu","0","1"
"31","31","0Fln0xZBGfxvRd66pbZ3ag","checkin","Fri","0","1"
"32","32","j-BlKJySXWsURdYllarjXw","checkin","Wed","13","3"
"33","33","N6VRRM1XZ6c92WBhWWu1XQ","checkin","Sun","0","1"
"34","34","P2zXpZN7UTDDM9_Q7Bs8Jg","checkin","Sun","0","2"
"35","35","gOeU8MmVBzmaOWA191hLpg","checkin","Wed","12","1"
"36","36","IpQG7s5l7ba5NxyzTxn7pg","checkin","Fri","0","3"
"37","37","1-rUjW65plaAjIMVMJjP_Q","checkin","Thu","2","1"
"38","38","sthJQ6XD4iITtivlJ4XtUQ","checkin","Sat","14","1"
"39","39","aXXacUBcCcLPtPSuerqtOg","checkin","Wed","16","1"
"40","40","xkL44jsxVw_N8_6zjTuBNg","checkin","Fri","19","1"
"41","41","ixKdWyaYb44IDJHXXQWCpA","checkin","Sun","14","1"
"42","42","qvLb9YeW4g0naTBgFSjHww","checkin","Mon","0","4"
"43","43","b7giaWVhjIjhlF7S2ezZAw","checkin","Fri","0","1"
"44","44","MSFFEZB0T1RQPJU8CfQjNA","checkin","Fri","0","1"
"45","45","dwtXvp2llq2BYSXQvJpHYw","checkin","Sat","11","2"
"46","46","T_Ggmjt-Wke9Sc9XYRscpQ","checkin","Fri","17","1"
"47","47","I9vXZQEpWvaGV69eVRwT3g","checkin","Sat","0","1"
"48","48","iX2rl6mNNu2TjoRbiX6wSQ","checkin","Sat","0","1"
"49","49","jAYJzBpURZAr_V8a0sWUBg","checkin","Thu","12","1"
"50","50","6iq7LAJRSstbaYcLzQ2EzA","checkin","Fri","0","1"
"51","51","VZxgDbsXnieH-qseiL8wYA","checkin","Thu","10","1"
"52","52","Ohg2XAUIFeilmou8BoMH3A","checkin","Mon","14","1"
"53","53","6RxtO_MxnLwZ7D7iYDE8Jg","checkin","Fri","0","1"
"54","54","SNNrb5T4dn3DMq410HIpxw","checkin","Fri","0","1"
"55","55","gCfRcOwBLJEF1C6ilqhFuA","checkin","Mon","0","1"
